win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8415821394926831
Golden State Warriors,San Antonio Spurs,0.5240294142074916
Portland Trail Blazers,Utah Jazz,0.6018055805799154
Boston Celtics,Brooklyn Nets,0.8663162660525024
Indiana Pacers,Dallas Mavericks,0.5445574189122664
Houston Rockets,Los Angeles Lakers,0.8805207927368136
Memphis Grizzlies,Minnesota Timberwolves,0.6553302027939814
Charlotte Hornets,Milwaukee Bucks,0.7612133109596204
Denver Nuggets,New Orleans Pelicans,0.5775228163750513
Miami Heat,Orlando Magic,0.7162920809107598
Oklahoma City Thunder,Philadelphia 76ers,0.9734272691921975
Sacramento Kings,Phoenix Suns,0.7134185051237609
Toronto Raptors,Detroit Pistons,0.6799313008680844
Atlanta Hawks,Washington Wizards,0.5772065815210435
Boston Celtics,Chicago Bulls,0.632472588977361
Los Angeles Clippers,Portland Trail Blazers,0.5800856626844235
San Antonio Spurs,Sacramento Kings,0.9010962856386668
Indiana Pacers,Brooklyn Nets,0.8585388733504855
Houston Rockets,Dallas Mavericks,0.5297225322325119
Detroit Pistons,Orlando Magic,0.61154682161356
Charlotte Hornets,Miami Heat,0.523686167592698
Golden State Warriors,New Orleans Pelicans,0.9388804690027053
Oklahoma City Thunder,Phoenix Suns,0.9196980409105242
Cleveland Cavaliers,Toronto Raptors,0.5546158265608468
Utah Jazz,Los Angeles Lakers,0.8497035032815548
Indiana Pacers,Chicago Bulls,0.5730209897735585
Boston Celtics,Charlotte Hornets,0.5489606966649234
Cleveland Cavaliers,Orlando Magic,0.8007734546616166
Portland Trail Blazers,Denver Nuggets,0.7513008690837522
Milwaukee Bucks,Brooklyn Nets,0.6730232285495656
Memphis Grizzlies,New York Knicks,0.6514678045516802
Atlanta Hawks,Philadelphia 76ers,0.9604383062944966
Sacramento Kings,Minnesota Timberwolves,0.5677925413553812
San Antonio Spurs,New Orleans Pelicans,0.9040737599402129
Detroit Pistons,Milwaukee Bucks,0.6891589730248565
Dallas Mavericks,Houston Rockets,0.5170688060636666
Los Angeles Clippers,Utah Jazz,0.6518761676647111
Washington Wizards,Memphis Grizzlies,0.552593745107104
San Antonio Spurs,Miami Heat,0.7812875337375896
Oklahoma City Thunder,Los Angeles Lakers,0.9507843834871491
Golden State Warriors,Phoenix Suns,0.962850067688049
Atlanta Hawks,Sacramento Kings,0.6996288463405202
Chicago Bulls,Brooklyn Nets,0.8339471446269255
Los Angeles Clippers,Phoenix Suns,0.8688316612394019
Toronto Raptors,Denver Nuggets,0.808562734525756
